"beer_id","error","name"
192,"[]","3.86"
250,"[]","3.54"
402,"[]","3.5"
627,"[single hop, nugget, milk stout, lactose, coffee, cold brew, non vegan]",""
708,"[collaboration, rye, rye ipa]",""
874,"Sak?? - Ginjo"," Yeast: #10."
876,"[]","3.54"
1037,"[]",""
1520,"[]","3.77"
1601,"Sak?? - Ginjo"," Yeast: #10."
1606,"/beerstyles/sake--ginjo/86/","https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_28845.jpg"
1639,"[mosaic]",""
1676,"[]",""
1774,"/beer/chotovinsky-vienna-spezial-lager-??1913o??/207571/","Chotovinsk?? Vienna Spezial Lager ??1913????"
1946,"[]",""
2098,"[amarillo]",""
2124,"[amarillo, cascade, maris otter]",""
2130,"[]",""
2743,"[]","3.41"
3349,"[]","3.86"
3355,"[]","3.91"
3471,"[]",""
3488,"[]",""
3508,"[]","3.58"
3533,"[]",""
3602,"[]","3.57"
3610,"[]","3.56"
3640,"[]","3.44"
3675,"[]",""
3691,"[]","3.8"
4109,"[]","3.66"
4177,"[]",""
4207,"/beerstyles/dunkler-bock/9/","https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_38675.jpg"
4249,"[lemon, lactose]",""
4332,"[]","3.68"
4340,"[]","3.8"
